s1	s2	s3	s4	s5	sn1	sn2	sn3	sn4	sn5	ts1	ts2	ts3	ts4	ts5	labels
-16656.35	24100.6	0	0	0	3156.95	9632.41	20997.8	64156.26	110103.14	2.82	36.28	22883.84	53775.02	248191.89	1
-1361.17	25211.05	0	0	0	-403.62	11241.61	15777.5	67085.4	99594.21	1.26	70.81	24702.27	57287	251002.65	1
-11225.58	12019.42	0	0	0	-3647.4	3889.12	-6289.73	27967.05	63274.43	1.97	-59.71	6793.11	57836.89	296442.82	1
5111.13	-58616.82	0	0	0	-3858.29	-14536.01	-31401.93	-29467.06	36403.37	-1.82	-67.52	10121.27	77526.69	451171.1	1
-8701.19	25259.74	0	0	0	1296.63	2142.69	-1812.15	-4999.82	50205.73	-12.45	-10.96	15643.35	73876.1	392586.69	1
1905.71	7337.88	0	0	0	2222.79	-6617.17	43.31	50243.43	76530.02	5	242.22	27608.61	68648.89	346584.1	1
-12388.74	28736.96	0	0	0	-5618.18	2101.81	-2994.69	2251.05	51820.69	4.64	16.56	18871.17	75924.71	389190.38	1
8081.42	38544.26	0	0	0	-649.22	-4274.98	3651.16	44620.34	67682.17	2.24	284.62	27992.93	70987.56	349377.63	1
-8579.56	17674.04	0	0	0	360.38	6077.3	5189.04	63871.94	109409.01	4.17	38.06	24239.34	56078.11	256624.37	1
2736.96	23745.75	0	0	0	-114.95	-10924.32	-3265.02	-19470.5	42437.76	2.86	-42.87	10326.94	73793.7	409365.88	1
-23479.49	36443.37	0	0	0	-877.1	-2661.18	739.21	-1266.6	41666.23	0.77	-114.14	-5730.95	66802.93	421008.24	1
-6112.59	40238.02	0	0	0	2485.03	-4889.27	4083.05	34872.14	66014.04	-0.53	233.02	28506.41	75141.39	359831.65	1
