labels	s1	s2	s3	s4	s5	sn1	sn2	sn3	sn4	sn5	ts1	ts2	ts3	ts4	ts5	
1	1156.23	460.84	1176.95	0	0	1630.75	7064.94	11854.51	6048.37	17384.78	9.9	-2552.46	-10189.17	-19033.91	-111895.89	
1	873.94	1528.15	2038.94	0	0	660.74	-574.6	-14799.78	-1304.6	8047.93	-4.87	-1183.07	-12855.86	-22153.38	-133197.78	
1	-36.46	-60.78	298.26	0	0	978.03	-2536.05	9095.04	23112.09	49334.34	-4.59	-3885.21	10169	6299.04	91455.22	
1	-461.13	1413.27	2039.71	0	0	-2818.74	3849.3	-4144.92	-4094.84	-7187.48	19.4	287.51	-21272.83	-29382.84	-153953.54	
1	-1221	-56.78	742.81	0	0	-1700.31	-4589.6	-3221.79	12978.64	24065.27	30.23	-6345.14	-6939.75	-11869.25	-118629.33	
1	-743.54	-533.86	2030.79	0	0	-527.25	5477.52	307.9	-4351.81	14526.39	12.01	-562.76	-8024.65	-23225.81	-94477.66	
1	633.79	-99.64	357.31	0	0	-2271.4	12578.43	1739.79	19607.24	34026.47	-6.55	-2891.77	2359.22	882.94	36719.94	
1	22.86	1191	1735.7	0	0	788.52	8657.98	1485.05	-1490.27	-2080.33	-7.3	-1677.66	9107.65	-24998.35	-151208.95	
1	-1398.39	-754.01	-271.45	0	0	6888.62	-641.22	1980.07	23962.99	31310.08	-3.14	-8993.73	1833.04	2427.61	48368.25	
1	443.76	438.29	1437.23	0	0	-1653.69	1295.34	3526.75	4898.88	14468.47	-2.67	-2238.89	-12814.14	-18091.96	-111461.75	
1	-221.64	-822.79	-696.43	0	0	1735.22	2740.74	11317.85	24282.08	23440.99	-1.24	-8597.28	-388.37	5352.76	-20799.59	
1	2490.5	460.44	-1290.64	0	0	-3310.47	-860.52	17403.46	53445.99	75218.04	8.18	310.66	17071.89	14849.93	157504.59	
1	-1198.59	-751.93	-405.45	0	0	3811.19	-802.04	5859.32	35780.62	50251.78	-12.66	-3941.56	8876.93	17619.36	75500.92	
1	1244.91	-349.4	-1483.46	0	0	-3115.22	-6820.4	-3090.66	24058.19	29757.64	20.85	-112.28	15268.51	16505.68	60724.65	
1	-121.85	-25.05	-759.48	0	0	418.57	-1613.71	29532.71	40898.32	65590.14	-5.03	12846.49	16838.77	18529.28	114387.02	
1	-998.89	574.89	1597.63	0	0	-2063.64	343.41	2178.2	-8410.15	-14791.15	7.52	-3908.84	-17857.51	-24662.29	-178371.61	
1	331.04	-764.79	-661.77	0	0	1328.1	-3369.64	8903.61	27731.65	33921.19	9.57	-5617.39	4774.25	7072.43	55068.93	
